Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Belgium,Euro,Euro,Area •160Total30689160km2 11849160sq160mi32136th•160Water160071 as of 2015Population•1602020 estimate 114926413282nd•160Density376km2 9738sq160mi3222ndGDP160PPP2020160estimate•160Total575808 billion3236th•160Per capita501143218thGDP160nominal2020160estimate•160Total503416 billion3226th•160Per capita438143216thGini1602018160256lowHDI160201very high160·16017thCurrencyEuro € EURTime zoneUTC1 CET•160Summer160DSTUTC2 CESTDriving siderightCalling code32ISO 3166 codeBEInternet TLDbe,P17,Backwards
Braeside Victoria,Australia,Australia,Braeside is a suburb in Melbourne Victoria Australia 25160km southeast from Melbournes central business district,P17,Forwards
Antal Festetics,Austria,Austrian,Antal Festetics exactly German AntalErwin Graf Festetics von Tolna Hungarian  born June 12 1937 Budapest Hungary is a HungarianAustrian biologist zoologist and behavioural researcher,P27,Forwards
Soltorgsgymnasiet,Sweden,Sweden,Public gymnasium schoolSoltorgsgymnasietLocationSweden Dalarna BorlängeInformationTypePublic GymnasiumEstablished1898PrincipalHans CarlssonStaff68Number of students450WebsiteSoltorgsgymnasiet,P17,Forwards
Taiwan,Japan,Japan,Neighbouring countries include the Peoples Republic of China PRC to the northwest Japan to the northeast and the Philippines to the south,P47,Backwards
United Kingdom,Republic of Ireland,Republic of Ireland,Northern Ireland shares a land border with the Republic of Ireland,P47,Forwards
Southwest Australia,Western Australia,Western Australia,Southwest Australia is a biogeographic region in Western Australia,P131,Forwards
European Union law,Directive European Union,Directive,Directive,P361,Backwards
Sweden,Denmark,Denmark,It borders Norway to the west and north Finland to the east and is connected to Denmark in the southwest by a bridgetunnel across the Öresund Strait,P47,Backwards
Island House Hong Kong,Hong Kong,Hong Kong,Island House is a historical building located on Island House Lane Yuen Chau Tsai 元洲仔 Tai Po New Territories Hong Kong,P131,Forwards
Bhutan,China,China,It is bordered by China to the north and India to the south,P530,Backwards
Croatia,World Trade Organization,World Trade Organization,It is a member of the European Union the United Nations the Council of Europe NATO the World Trade Organization and a founding member of the Union for the Mediterranean,P463,Forwards
European Union,Poland,Poland,   160Poland,P527,Forwards
Cameroon,Central African Republic,Central African Republic,It is bordered by Nigeria to the west and north Chad to the northeast the Central African Republic to the east and Equatorial Guinea Gabon and the Republic of the Congo to the south,P47,Backwards
Northern white rhinoceros,White rhinoceros,white rhinoceros,The northern white rhinoceros Ceratotherium simum cottoni or northern squarelipped rhinoceros is one of two subspecies of the white rhinoceros the other being the southern white rhinoceros,P279,Forwards
Latvia,Germany,Germany,LegislatureSaeimaIndependence160from Germany but later from Soviet Union•160Declared 18 November 1918•160Recognised 26 January 1921•160Constitution adopted 7 November 1922•160Restored 21 August 1991•160Joined the EU 1 May 2004,P530,Forwards
Kenya,United Kingdom,United Kingdom,LegislatureParliament•160Upper houseSenate•160Lower houseNational AssemblyIndependence•160from the United Kingdom 12 December 1963•160Republic declared 12 December 1964,P530,Backwards
Rio de Janeiro state,Rio de Janeiro,Rio de Janeiro,The states 22 largest cities are Rio de Janeiro São Gonçalo Duque de Caxias Nova Iguaçu Niterói Campos dos Goytacazes Belford Roxo São João de Meriti Petrópolis Volta Redonda Magé Macaé Itaboraí Cabo Frio Armação dos Búzios Angra dos Reis Nova Friburgo Barra Mansa Barra do Piraí Teresópolis Mesquita and Nilópolis,P150,Forwards
European Union,G20,G20,It maintains permanent diplomatic missions throughout the world and represents itself at the United Nations the World Trade Organization the G7 and the G20,P463,Forwards
China,Yellow River,Yellow River,China emerged as one of the worlds first civilizations in the fertile basin of the Yellow River in the North China Plain,P17,Backwards
Belgium,European Union,European Union,    Motto160Eendracht maakt macht160DutchLunion fait la force160FrenchEinigkeit macht stark160GermanUnity makes strengthAnthem160La BrabançonneEnglish The Brabantian Location of160Belgium160dark green–160in Europe160green amp160dark grey–160in the European Union160greenCapitaland largest cityBrussels50°51′N 4°21′Exfeff  xfeff50850°N 4350°Exfeff  50850 4350Official160languagesDutchFrenchGermanReligion  2019,P527,Backwards
Republic of Ireland,United Kingdom,United Kingdom,The sovereign state shares its only land border with Northern Ireland which is part of the United Kingdom,P530,Backwards
Fauna of Estonia,Estonia,Estonia,Estonia is a small heavily forested country situated on the Baltic Sea,P17,Forwards
Mauritania,Sahara,Sahara,Approximately 90 of Mauritanias land is in the Sahara,P131,Backwards
Foreign relations of Colombia,Colombia,Colombia,Colombia seeks diplomatic and commercial relations with all countries regardless of their ideologies or political or economic systems,P17,Forwards
County United States,United States,United States,In the United States a county is an administrative or political subdivision of a a hrefwikiUSstate titleUS,P17,Forwards
Greece,World Trade Organization,World Trade Organization,It is also a member of numerous other international institutions including the Council of Europe the North Atlantic Treaty Organization NATO the Organisation for Economic Cooperation and Development OECD the World Trade Organization WTO the Organization for Security and Cooperation in Europe OSCE and the Organisation internationale de la Francophonie OIF,P463,Forwards
European Economic Area,European Union,European Union,The European Economic Area EEA was established via the Agreement on the European Economic Area an international agreement which enables the extension of the European Unions single market to member states of the European Free Trade Association,P463,Backwards
Tropical Rainforest Heritage of Sumatra,Indonesia,Indonesian,It comprises three Indonesian national parks on the island of Sumatra Gunung Leuser National Park Kerinci Seblat National Park and the Bukit Barisan Selatan National Park,P17,Forwards
Nature park,Protected area,protected area,In terms of level of protection a category Nature Park is not the same as a National Park which is defined by the IUCN and its World Commission on Protected Areas as a category II type of protected area,P279,Forwards
Macau,China,China,Macau is a special administrative region of China which maintains separate governing and economic systems from those of mainland China under the principle of one country two systems,P150,Backwards
Renewable energy,Solar energy,Solar,Solar,P279,Backwards
Hwasa,South Korea,South Korean,Ahn Hyejin Korean 안혜진 born July 23 1995 known professionally by her stage name Hwasa Korean 화사 most often stylized as Hwa Sa is a South Korean singer rapper songwriter composer and television personality signed under RBW,P27,Forwards
Indonesia,Philippines,Philippines,Other neighbouring countries include Singapore Vietnam the Philippines Australia Palau and India Andaman and Nicobar Islands,P530,Backwards
Foundation nonprofit,Nonprofit organization,nonprofit organization,A foundation also a charitable foundation is a category of nonprofit organization or charitable trust that typically provides funding and support for other charitable organizations through grants but may also engage directly in charitable activities,P279,Forwards
Cimahi,Bandung,Bandung,Cimahi Indonesian pronunciation160tʃimahi is a city located immediately west of the larger city of Bandung in West Java Province Indonesia and within the Bandung Metropolitan Area,P47,Forwards
Poland,Czech Republic,Czech Republic,The country is bordered by Lithuania and Kaliningrad Oblast of Russia to the northeast Belarus and Ukraine to the east Slovakia and the Czech Republic to the south and Germany to the west,P47,Backwards
Croatia,Hungary,Hungary,It borders Slovenia to the northwest Hungary to the northeast Serbia to the east Bosnia and Herzegovina and Montenegro to the southeast and shares a maritime border with Italy to the west and southwest,P47,Forwards
Metro Manila,Malabon,Malabon,It is composed of 16 cities the city of Manila Quezon City Caloocan Las Piñas Makati Malabon Mandaluyong Marikina Muntinlupa Navotas Parañaque Pasay Pasig San Juan Taguig and Valenzuela as well as the municipality of Pateros,P150,Forwards
Sierra Leone,African Union,African Union,The country is a member of the United Nations African Union Economic Community of West African States ECOWAS Mano River Union Commonwealth of Nations African Development Bank and Organisation of Islamic Cooperation,P463,Forwards
Sustainable Development Goal 14,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 14 Goal 14 or SDG 14 is about Life below water and is one of the 17 Sustainable Development Goals established by the United Nations in 2015,P527,Backwards
